Date,Open,High,Low,Close,Volume,Adj Close
2017-05-08,29.84,30.00,28.20,28.31,10702700,28.31
2017-05-05,30.50,31.25,29.90,30.00,9253100,30.00
2017-05-04,31.68,31.68,30.59,30.64,12211300,30.64
2017-05-03,32.38,32.45,31.90,31.91,8683500,31.91
2017-05-02,32.86,32.88,32.00,32.49,8232900,32.49
2017-05-01,32.73,32.73,32.73,32.73,000,32.73
2017-04-28,32.80,33.63,32.33,32.73,10176900,32.73
2017-04-27,34.28,34.28,31.90,32.84,21641600,32.84
2017-04-26,38.00,38.00,35.00,35.21,29042800,35.21
2017-04-25,34.56,38.66,33.50,38.53,22353400,38.53
2017-04-24,36.29,37.20,35.03,35.22,17999900,35.22
2017-04-21,36.79,37.19,35.88,35.97,10392600,35.97
2017-04-20,36.23,37.00,35.91,36.78,12978200,36.78
2017-04-19,37.59,37.68,35.82,36.23,13339700,36.23
2017-04-18,37.68,38.39,37.30,37.86,10497800,37.86
2017-04-17,39.00,39.00,37.30,37.67,14031900,37.67
2017-04-14,39.99,40.87,39.75,39.98,18750800,39.98
2017-04-13,39.97,40.30,38.92,39.68,15621800,39.68
2017-04-12,40.86,42.38,39.23,39.97,26230700,39.97
2017-04-11,37.60,41.01,37.10,40.38,30118800,40.38
2017-04-10,36.38,38.80,36.02,37.99,25973800,37.99
2017-04-07,35.30,37.90,35.25,35.78,26903000,35.78
2017-04-06,34.38,34.92,33.90,34.62,16076100,34.62
2017-04-05,33.12,34.55,32.90,34.30,18344300,34.30
2017-04-04,33.43,33.43,33.43,33.43,000,33.43
2017-04-03,33.43,33.43,33.43,33.43,000,33.43
2017-03-31,32.30,33.55,32.28,33.43,17386100,33.43
2017-03-30,32.77,32.77,31.90,31.93,6297700,31.93
2017-03-29,32.66,33.10,32.09,32.84,6597700,32.84
2017-03-28,33.18,33.39,32.69,32.72,5622700,32.72
2017-03-27,33.04,33.44,32.67,33.10,7538700,33.10
2017-03-24,32.60,33.11,32.43,33.09,6918100,33.09
2017-03-23,32.50,32.82,32.05,32.57,6343400,32.57
2017-03-22,32.22,32.50,32.02,32.39,4007700,32.39
2017-03-21,32.44,32.51,32.02,32.45,4200500,32.45
2017-03-20,32.86,33.07,32.02,32.42,8116600,32.42
2017-03-17,33.62,33.80,32.80,32.85,5838200,32.85
2017-03-16,32.98,33.61,32.98,33.59,6981700,33.59
2017-03-15,33.50,33.58,32.69,32.97,8127900,32.97
2017-03-14,33.28,33.93,33.28,33.65,7062900,33.65
2017-03-13,33.23,33.65,32.75,33.48,6759000,33.48
2017-03-10,33.36,33.71,33.03,33.27,7128900,33.27
2017-03-09,34.50,34.50,33.41,33.43,13374100,33.43
2017-03-08,34.70,35.47,34.47,34.65,10365500,34.65
2017-03-07,35.13,35.15,34.47,34.67,7891800,34.67
2017-03-06,34.20,35.16,33.80,35.11,10717200,35.11
2017-03-03,34.10,34.88,33.92,34.33,7678700,34.33
2017-03-02,34.97,34.97,34.32,34.39,8830900,34.39
2017-03-01,34.02,35.05,33.80,34.99,14752500,34.99
2017-02-28,33.55,34.15,33.41,34.13,7270600,34.13
2017-02-27,34.50,34.50,33.60,33.64,8206700,33.64
2017-02-24,34.34,34.69,33.97,34.39,9016600,34.39
2017-02-23,34.20,34.50,33.68,34.45,11956900,34.45
2017-02-22,34.66,35.15,34.21,34.32,14226600,34.32
2017-02-21,33.84,34.80,33.40,34.72,13082900,34.72
2017-02-20,33.65,34.34,33.30,33.96,14926900,33.96
2017-02-17,32.28,34.00,32.18,33.59,22136900,33.59
2017-02-16,32.20,32.78,32.20,32.30,8132200,32.30
2017-02-15,33.04,33.05,32.10,32.28,9830800,32.28
2017-02-14,33.57,34.11,32.90,33.11,10630300,33.11
2017-02-13,32.80,33.88,32.58,33.52,10920300,33.52
2017-02-10,33.07,33.28,32.68,32.81,9316300,32.81
2017-02-09,33.00,33.44,32.92,33.39,8935100,33.39
2017-02-08,32.11,33.30,32.11,33.16,13616000,33.16
2017-02-07,32.64,32.89,31.99,32.40,9106400,32.40
2017-02-06,32.70,33.45,32.50,32.80,9837000,32.80
2017-02-03,32.80,34.11,32.45,32.96,16156400,32.96
2017-02-02,32.44,32.44,32.44,32.44,000,32.44
2017-02-01,32.44,32.44,32.44,32.44,000,32.44
2017-01-31,32.44,32.44,32.44,32.44,000,32.44
2017-01-30,32.44,32.44,32.44,32.44,000,32.44
2017-01-27,32.44,32.44,32.44,32.44,000,32.44
2017-01-26,31.88,32.57,31.88,32.44,6961200,32.44
2017-01-25,31.45,32.20,31.41,32.12,5650900,32.12
2017-01-24,32.00,32.12,31.58,31.79,5893500,31.79
2017-01-23,31.18,32.57,31.01,32.30,12007900,32.30
2017-01-20,29.99,30.95,29.94,30.89,6232100,30.89
2017-01-19,30.00,30.40,29.90,29.99,4579500,29.99
