000001,平安银行,银行,深投系;海通系;沪深300;大盘;转融券;中证100;汇金持股;低市净率;股权投资;深成500;广东自贸区;操盘手80;深证100;深股通;破净股;银行;金融、保险业;广东;银行;证金持股;融资融券;
000002,万 科Ａ,房地产,华润系;恒大概念;保障房;沪深300;大盘;AH股;央视50;转融券;股权转让;中证100;股权投资;举牌;深成500;深证100;深股通;房地产;房地产业;广东;房地产;参股金融;H股;融资融券;
000004,国农科技,生物制品,银河系;北大系;壳资源;举牌;医药生物;医药、生物制品;广东;制药与生物科技;
000005,世纪星源,环境保护,中盘;充电桩;泽熙概念;节能环保;基金新增;国际板;深股通;房地产;房地产业;广东;资本货物;PPP概念;
000006,深振业Ａ,房地产,深建设系;转融券;汇金持股;广东国资整合;深成500;广东自贸区;中证500;深股通;房地产;房地产业;广东;房地产;融资融券;
000007,全新好,多元金融,中盘;电子商务;举牌;休闲服务;社会服务业;广东;房地产;云计算;
000008,神州高铁,专用设备,沪深300;股权转让;基金增仓;深成500;深股通;机械设备;社会服务业;北京;运输;高铁;
000009,中国宝安,复合材料,涉矿概念;沪深300;土地流转;新材料;转融券;双创概念;石墨烯;循环经济;股权投资;深成500;锂电池;深证100;深股通;航天军工;综合;房地产业;广东;资本货物;新能源汽车;融资融券;无人机;
000010,美丽生态,园林工程,证金持股;美丽中国;大订单;PPP概念;股权冻结;建筑装饰;机械、设备、仪表;广东;资本货物;
000011,深物业A,房地产,深建设系;基金新增;广东国资整合;基金增仓;广东自贸区;粤港澳大湾区;预盈预增;房地产;房地产业;广东;房地产;
000012,南 玻Ａ,建材,招商系;深股通;深成500;中证500;融资融券;基金新增;转融券;智能手机;汇金持股;新材料;建筑材料;金属、非金属;广东;原材料;举牌;智能穿戴;太阳能;
000014,沙河股份,房地产,深建设系;广东国资整合;广东自贸区;粤港澳大湾区;基金增仓;房地产;房地产业;广东;房地产;举牌;
000016,深康佳Ａ,家电,华侨城系;基金新增;低价;财政扶持;国资委整合;三网融合;基金增仓;数字电视;家用电器;电子;广东;耐用消费品与服装;智能穿戴;
000017,深中华A,摩托自行车,深投系;基金新增;定向增发;智慧城市;基金增仓;共享经济;汽车;机械、设备、仪表;广东;耐用消费品与服装;再融资;
000018,神州长城,工程建筑,华联控股系;基金新增;明星基金;深股通;操盘手80;一带一路;大订单;定向增发;PPP概念;基金增仓;建筑装饰;纺织、服装、皮毛;广东;资本货物;再融资;
000019,深深宝Ａ,食品饮料,深商投系;基金新增;广东国资整合;中盘;基金增仓;汇金持股;食品饮料;食品、饮料;广东;食品、饮料与烟草;
000020,深华发Ａ,电子元器件,赛格系;粤港澳大湾区;基金新增;金融改革;股权冻结;电子;电子;广东;技术硬件与设备;广东自贸区;
000021,深科技,IT设备,长城系;TMT概念;中证500;云计算;股权投资;智能电网;深股通;航天军工;汇金持股;深成500;国资委整合;计算机;信息技术业;广东;技术硬件与设备;财政扶持;
